[2026-07-15T18:55:12.311740] Build started: Test
[2026-07-15T18:55:12.314198] ✓ T1: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.314447] ✓ T2: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.314755] ✓ T3: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.314836] ✓ T4: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.314915] ✓ T5: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.315222] ✓ T6: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.315309] ✓ T7: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.315400] ✓ T8: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.315676] ✓ T9: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.315760] ✓ T10: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.315838] ✓ T12: completed (attempt 1, 0ms)
[2026-07-15T18:55:12.315903] ✓ T13: completed (attempt 1, 0ms)
