[2026-07-15T19:04:30.040796] Build started: Test
[2026-07-15T19:04:30.042661] ✓ T1: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.042889] ✓ T2: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.043298] ✓ T3: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.043383] ✓ T4: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.043456] ✓ T5: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.043678] ✓ T6: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.043761] ✓ T7: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.043833] ✓ T8: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.044132] ✓ T9: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.044216] ✓ T10: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.044298] ✓ T12: completed (attempt 1, 0ms)
[2026-07-15T19:04:30.044377] ✓ T13: completed (attempt 1, 0ms)
