[2026-07-15T19:05:08.976408] Build started: Test
[2026-07-15T19:05:08.977635] ✓ T1: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.977839] ✓ T2: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.978056] ✓ T3: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.978164] ✓ T4: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.978258] ✓ T5: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.978475] ✓ T6: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.978543] ✓ T7: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.978620] ✓ T8: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.978883] ✓ T9: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.978979] ✓ T10: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.979069] ✓ T12: completed (attempt 1, 0ms)
[2026-07-15T19:05:08.979162] ✓ T13: completed (attempt 1, 0ms)
