[2026-07-15T19:27:50.306738] Build started: Test
[2026-07-15T19:27:50.308033] ✓ T1: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.308266] ✓ T2: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.308491] ✓ T3: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.308610] ✓ T4: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.308736] ✓ T5: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.308972] ✓ T6: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.309044] ✓ T7: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.309269] ✓ T8: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.309496] ✓ T9: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.309567] ✓ T10: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.309638] ✓ T12: completed (attempt 1, 0ms)
[2026-07-15T19:27:50.309753] ✓ T13: completed (attempt 1, 0ms)
