[2026-07-15T19:27:54.545261] Build started: Test
[2026-07-15T19:27:54.546683] ✓ T1: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.546889] ✓ T2: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.547238] ✓ T3: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.547365] ✓ T4: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.547496] ✓ T5: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.547739] ✓ T6: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.547851] ✓ T7: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.547925] ✓ T8: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.548160] ✓ T9: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.548243] ✓ T10: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.548309] ✓ T12: completed (attempt 1, 0ms)
[2026-07-15T19:27:54.548376] ✓ T13: completed (attempt 1, 0ms)
