[2026-07-15T19:27:59.067569] Build started: Test
[2026-07-15T19:27:59.069692] ✓ T1: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.069886] ✓ T2: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.070273] ✓ T3: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.070363] ✓ T4: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.070445] ✓ T5: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.070699] ✓ T6: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.070793] ✓ T7: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.070872] ✓ T8: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.071155] ✓ T9: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.071248] ✓ T10: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.071331] ✓ T12: completed (attempt 1, 0ms)
[2026-07-15T19:27:59.071407] ✓ T13: completed (attempt 1, 0ms)
