[2026-07-15T19:28:03.050396] Build started: Test
[2026-07-15T19:28:03.052387] ✓ T1: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.052634] ✓ T2: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.052937] ✓ T3: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.053113] ✓ T4: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.053413] ✓ T5: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.054720] ✓ T6: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.054826] ✓ T7: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.054927] ✓ T8: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.055671] ✓ T9: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.055782] ✓ T10: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.055887] ✓ T12: completed (attempt 1, 0ms)
[2026-07-15T19:28:03.056748] ✓ T13: completed (attempt 1, 0ms)
