[2026-07-15T19:28:35.102059] Build started: Test
[2026-07-15T19:28:35.103718] ✓ T1: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.103893] ✓ T2: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.104183] ✓ T3: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.104272] ✓ T4: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.104343] ✓ T5: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.104596] ✓ T6: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.104674] ✓ T7: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.104742] ✓ T8: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.104980] ✓ T9: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.105073] ✓ T10: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.105223] ✓ T12: completed (attempt 1, 0ms)
[2026-07-15T19:28:35.105299] ✓ T13: completed (attempt 1, 0ms)
